Date,Department,Available_Beds,Occupied_Beds,Bed_Occupancy_Rate,Doctors_Planned,Doctors_On_Duty,Nurses_Planned,Nurses_On_Duty,Emergency_Admissions
2022-01-01,Cardiology,44,36,0.8182,4,4,9,9,7
2022-01-01,General Surgery,42,31,0.7381,4,4,9,9,6
2022-01-01,Internal Medicine,64,58,0.9062,6,6,13,13,4
2022-01-01,Neurology,36,29,0.8056,4,4,8,8,6
2022-01-01,Obstetrics,40,29,0.725,4,4,8,8,4
2022-01-01,Oncology,38,30,0.7895,4,4,8,8,3
2022-01-01,Orthopedics,48,35,0.7292,5,5,10,10,6
2022-01-01,Urology,30,23,0.7667,3,3,6,6,5
2022-01-02,Cardiology,44,39,0.8864,4,3,9,9,9
2022-01-02,General Surgery,42,32,0.7619,4,4,9,9,5
2022-01-02,Internal Medicine,64,60,0.9375,6,6,13,13,7
2022-01-02,Neurology,36,27,0.75,4,4,8,8,11
2022-01-02,Obstetrics,40,30,0.75,4,4,8,8,7
2022-01-02,Oncology,38,31,0.8158,4,4,8,8,8
2022-01-02,Orthopedics,48,38,0.7917,5,5,10,10,7
2022-01-02,Urology,30,22,0.7333,3,3,6,6,9
2022-01-03,Cardiology,44,44,1.0,4,4,9,9,6
2022-01-03,General Surgery,42,36,0.8571,4,4,9,8,7
2022-01-03,Internal Medicine,64,63,0.9844,6,6,13,12,10
2022-01-03,Neurology,36,28,0.7778,4,4,8,8,6
2022-01-03,Obstetrics,40,29,0.725,4,4,8,8,2
2022-01-03,Oncology,38,33,0.8684,4,4,8,8,3
2022-01-03,Orthopedics,48,37,0.7708,5,5,10,10,6
2022-01-03,Urology,30,23,0.7667,3,3,6,6,8
2022-01-04,Cardiology,44,36,0.8182,4,4,9,9,6
2022-01-04,General Surgery,42,34,0.8095,4,3,9,9,7
2022-01-04,Internal Medicine,64,59,0.9219,6,6,13,13,9
2022-01-04,Neurology,36,29,0.8056,4,4,8,7,4
2022-01-04,Obstetrics,40,29,0.725,4,4,8,8,6
2022-01-04,Oncology,38,33,0.8684,4,4,8,8,5
2022-01-04,Orthopedics,48,39,0.8125,5,5,10,10,3
2022-01-04,Urology,30,22,0.7333,3,3,6,6,2
