File,Column,Description,Unit_or_Values,Nullable,Key_Role
hospital_admissions_enriched.csv,Patient_ID,Synthetic patient identifier; may repeat across admissions,integer,No,Patient key
hospital_admissions_enriched.csv,Age,Patient age at the first observed admission,years,No,
hospital_admissions_enriched.csv,Gender,Recorded gender,Female; Male,No,
hospital_admissions_enriched.csv,Condition,Primary condition for the admission,15 condition categories,No,
hospital_admissions_enriched.csv,Procedure,Primary procedure or treatment category,categorical,No,
hospital_admissions_enriched.csv,Cost,Total actual cost of the admission; sum of available cost components before missingness is introduced,EUR,No,
hospital_admissions_enriched.csv,Length_of_Stay,Number of days from admission to discharge,days,No,
hospital_admissions_enriched.csv,Readmission,Whether the next admission occurs within 30 days after discharge,Yes; No; blank if follow-up is incomplete,Yes,
hospital_admissions_enriched.csv,Outcome,Status at the end of the admission,Recovered; Stable; Transferred; Deceased,No,
hospital_admissions_enriched.csv,Satisfaction,Patient satisfaction score,1 (low) to 5 (high),Yes,
hospital_admissions_enriched.csv,Admission_ID,Unique synthetic admission identifier before duplicate rows are introduced,text,No,Admission key
hospital_admissions_enriched.csv,Episode_Number,Sequential admission number for the patient within this extract,integer,No,
hospital_admissions_enriched.csv,Age_Group,Operational age band,18-34; 35-49; 50-64; 65-74; 75+,No,
hospital_admissions_enriched.csv,Region,Fictional patient region,North; Central; South; West,Yes,
hospital_admissions_enriched.csv,Comorbidities,Semicolon-separated synthetic comorbidity list,text; No recorded comorbidities if none are recorded,Yes,
hospital_admissions_enriched.csv,Comorbidity_Count,Number of recorded comorbidities,count,No,
hospital_admissions_enriched.csv,Comorbidity_Index,Weighted synthetic comorbidity burden,non-negative score,No,
hospital_admissions_enriched.csv,Admission_Date,Date of admission,YYYY-MM-DD,No,Join to load on Admission_Date + Department
hospital_admissions_enriched.csv,Discharge_Date,Date of discharge,YYYY-MM-DD,No,
hospital_admissions_enriched.csv,Admission_Type,Type of admission,Emergency; Urgent; Elective,No,
hospital_admissions_enriched.csv,Department,Department responsible for the admission,Cardiology; Neurology; Oncology; Orthopedics; General Surgery; Internal Medicine; Obstetrics; Urology,No,Join to load on Admission_Date + Department
hospital_admissions_enriched.csv,Severity,Synthetic severity at admission,Mild; Moderate; Severe; Critical,No,
hospital_admissions_enriched.csv,Procedure_Complexity,Grouped procedure complexity,Not applicable; Low; Moderate; High,Yes,
hospital_admissions_enriched.csv,Procedure_Date,Date of the primary procedure,YYYY-MM-DD; structurally blank if no procedure,Yes,
hospital_admissions_enriched.csv,Procedure_Wait_Days,Days from admission to the primary procedure,days; structurally blank if no procedure,Yes,
hospital_admissions_enriched.csv,Complication,Whether a complication was recorded,Yes; No,No,
hospital_admissions_enriched.csv,ICU_Transfer,Whether the patient was transferred to intensive care,Yes; No,No,
hospital_admissions_enriched.csv,ICU_Days,Number of intensive-care days,days,No,
hospital_admissions_enriched.csv,Bed_Cost_EUR,Cost of occupied bed-days,EUR,No,
hospital_admissions_enriched.csv,Medication_Cost_EUR,Medication cost,EUR,No,
hospital_admissions_enriched.csv,Diagnostic_Cost_EUR,Diagnostic cost,EUR,Yes,
hospital_admissions_enriched.csv,Procedure_Cost_EUR,Procedure cost,EUR,No,
hospital_admissions_enriched.csv,Staff_Cost_EUR,Allocated doctor and nurse cost,EUR,No,
hospital_admissions_enriched.csv,ICU_Cost_EUR,Intensive-care cost,EUR,No,
hospital_admissions_enriched.csv,Days_to_Readmission,Days from discharge to the next admission when it occurs within 30 days,days,Yes,
hospital_admissions_enriched.csv,Followup_30d_Complete,Whether a full 30-day readmission window is observable or readmission is already observed,True; False,No,
hospital_admissions_enriched.csv,Prior_Admissions_12m,Number of prior admissions by the same patient during the previous 365 days,count,No,
department_daily_load.csv,Date,Calendar date,YYYY-MM-DD,No,Department-day key
department_daily_load.csv,Department,Hospital department,Cardiology; Neurology; Oncology; Orthopedics; General Surgery; Internal Medicine; Obstetrics; Urology,No,Department-day key
department_daily_load.csv,Available_Beds,Beds available to the department,count,No,
department_daily_load.csv,Occupied_Beds,Beds occupied on the date,count,No,
department_daily_load.csv,Bed_Occupancy_Rate,Occupied beds divided by available beds,proportion from 0 to 1,No,
department_daily_load.csv,Doctors_Planned,Doctors planned for duty,count,No,
department_daily_load.csv,Doctors_On_Duty,Doctors actually on duty,count,No,
department_daily_load.csv,Nurses_Planned,Nurses planned for duty,count,No,
department_daily_load.csv,Nurses_On_Duty,Nurses actually on duty,count,No,
department_daily_load.csv,Emergency_Admissions,All emergency admissions recorded by the department that day; not limited to the admissions sample,count,No,
